Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,4.54093E-05,3.68951E-05,2.88258E-05,0.000528574,0.000630641,0.007035334,0.011770325,0.010485651,0.01010989,0.019086022,0.021415569,0.026365833,0.028347141,0.03055513,0.035656072,0.042057026,0.057003248,0.0675,0.067735143
Albania,ALB,0.00109709,0.011051676,0.010971501,0.014351339,0.022932338,0.043241381,0.062187481,0.091487146,0.142295479,0.234548883,0.254916363,0.269030462,0.293596997,0.303940365,0.308265509,0.337443819,0.343515567,0.360031507,0.360891752
Algeria,DZA,0.004727939,0.011130735,0.01614137,0.019285758,0.033705303,0.039668844,0.047284986,0.058241858,0.062277274,0.066798659,0.071968789,0.081069998,0.096055753,0.118244784,0.151848021,0.195983526,0.221140762,0.243451786,0.250966046
Angola,AGO,0.001010053,0.053948071,0.054594113,0.055114727,0.055655844,0.059456537,0.061264415,0.062267361,0.080050423,0.093459101,0.102624307,0.122049959,0.147413611,0.149458581,0.215499684,0.192735327,0.166199354,0.212890626,0.115497528
Argentina,ARG,0.067679645,0.134319787,0.126676975,0.129555634,0.153488849,0.159749663,0.174805912,0.201100569,0.243398551,0.271879753,0.314935576,0.345966121,0.358825501,0.375027814,0.388225916,0.433745554,0.42738033,0.448235423,0.416413418
Armenia,ARM,0.012504519,0.022130396,0.021776277,0.036902607,0.038586471,0.039577028,0.040846455,0.042617344,0.049043744,0.110179337,0.156051286,0.204075902,0.224313962,0.243236448,0.303287916,0.354157367,0.37251305,0.386628388,0.382573516
Australia,AUS,0.449578035,0.510904721,0.448530073,0.447144595,0.45939792,0.461338792,0.467943718,0.482547972,0.514839682,0.538579211,0.539740524,0.578345517,0.562024782,0.563739167,0.559766091,0.584440797,0.568697761,0.568927584,0.570939097
Austria,AUT,0.324328201,0.413200992,0.338106119,0.363860429,0.430583557,0.440397996,0.462332231,0.489901307,0.520688724,0.527014273,0.533448535,0.554126013,0.566444725,0.551079363,0.541320117,0.56938393,0.535629493,0.54664605,0.534145089
Azerbaijan,AZE,0.001420746,0.032945331,0.062153871,0.066701582,0.072399569,0.07670969,0.097546027,0.110800933,0.103896152,0.15721766,0.259331251,0.282396972,0.363680928,0.496871893,0.449536812,0.431633745,0.417924463,0.42036974,0.433231903
"Bahamas, The",BHS,0.076923077,0.09218771,0.113751473,0.120279257,0.131124301,0.14367837,0.145235379,0.149006832,0.173296979,0.182150859,0.230234525,0.342774639,0.372892213,0.372891727,0.391824184,0.397165592,0.407179234,0.425014926,0.426495227
Bahrain,BHR,0.059170505,0.117689224,0.114271689,0.129830306,0.12809762,0.122635144,0.15796971,0.181822411,0.285702672,0.28525275,0.295517333,0.407628763,0.461324581,0.471226838,0.473390162,0.484769702,0.506513436,0.484578537,0.498613419
Bangladesh,BGD,0.000683071,0.004155431,0.004025535,0.004126859,0.0043276,0.004530027,0.008727274,0.013075081,0.01787103,0.019670813,0.021844488,0.025771374,0.030760273,0.036928348,0.073319377,0.076219418,0.093973037,0.077558525,0.077780389
Barbados,BRB,0.038208446,0.093253518,0.175912048,0.238691527,0.296817261,0.301724138,0.308904033,0.321192053,0.337362637,0.347849462,0.348538387,0.350665575,0.370024677,0.371840392,0.382844336,0.387525458,0.404872683,0.408803892,0.410228002
Belarus,BLR,0.017888444,0.051063618,0.07403085,0.082194601,0.092417292,0.100153238,0.107957738,0.126184702,0.149362129,0.178634346,0.199285125,0.236200353,0.274299245,0.320094284,0.334814809,0.358685222,0.397518708,0.408437393,0.4296298
Belgium,BEL,0.282997036,0.314224838,0.362567363,0.370301448,0.390799864,0.390588846,0.40337826,0.425413388,0.447515043,0.487921506,0.508235925,0.540808373,0.541957896,0.529783039,0.54375105,0.561644231,0.536918611,0.526875132,0.529647348
Belize,BLZ,0.05734457,0.070527676,0.060949047,0.071588113,0.083437161,0.122728488,0.159090572,0.160788928,0.177447905,0.184612979,0.192451102,0.211908813,0.20218484,0.201603329,0.216926241,0.226754229,0.23271161,0.235413808,0.236778327
Benin,BEN,0.002165845,0.008496897,0.01009997,0.01137893,0.012705859,0.012962473,0.0142481,0.015536282,0.017611815,0.020718406,0.026132718,0.033182936,0.035542895,0.036434505,0.064852687,0.066389973,0.081807901,0.129763748,0.123599913
Bhutan,BTN,0.003855235,0.012943295,0.016778644,0.02084386,0.025004598,0.028298194,0.031427561,0.038859466,0.037191289,0.040669812,0.074124588,0.075934515,0.08131054,0.116205523,0.15453081,0.202864552,0.212774,0.240723456,0.241558427
Bolivia,BOL,0.013872727,0.055100813,0.058233846,0.059635231,0.064997476,0.068578285,0.073171451,0.096477549,0.110742756,0.138774964,0.200144934,0.297170481,0.278871451,0.272745368,0.243056335,0.24136974,0.234743201,0.266359585,0.261944995
Bosnia and Herzegovina,BIH,0.010413084,0.040682183,0.048038834,0.055148609,0.123501014,0.153870313,0.17163591,0.185386951,0.231642442,0.236921152,0.254864356,0.264500667,0.260546232,0.2716951,0.274577244,0.295307935,0.326392048,0.369725731,0.394655954
Botswana,BWA,0.027910256,0.028559914,0.023153497,0.021873926,0.021453866,0.020506422,0.02571954,0.030895184,0.036652153,0.035757302,0.035033303,0.050968471,0.086924912,0.158797462,0.189235578,0.196556175,0.20342872,0.242750909,0.241307855
Brazil,BRA,0.027602742,0.123522035,0.145963095,0.167572963,0.201825803,0.208963556,0.245546701,0.258562595,0.301898188,0.34989861,0.332765078,0.351706628,0.368724195,0.354740863,0.372089724,0.420725382,0.415002962,0.447985697,0.459359347
Brunei Darussalam,BRN,0.086502736,0.233585219,0.229542548,0.250508564,0.309775674,0.342242113,0.368316746,0.379243514,0.427368687,0.46686694,0.55727919,0.531544328,0.469559904,0.481779915,0.429180626,0.546799038,0.55933802,0.726349354,0.476332344
Bulgaria,BGR,0.051643495,0.111617178,0.109527295,0.124554088,0.160204273,0.166916216,0.203469976,0.237797316,0.28457466,0.32737839,0.32803107,0.335068003,0.352866797,0.346618076,0.343688079,0.365600091,0.36957694,0.396256956,0.409045551
Burkina Faso,BFA,0.000741155,0.006006234,0.006044125,0.007019801,0.007159783,0.007474607,0.008308233,0.008913022,0.011338689,0.013395547,0.088392185,0.092429018,0.108517456,0.168499817,0.139502212,0.121183377,0.115215384,0.129512001,0.128994003
Burundi,BDI,0.000742774,0.00218212,0.002101131,0.002564432,0.00343445,0.004469748,0.005027276,0.00521712,0.006232742,0.006914883,0.007597502,0.008559449,0.009249573,0.0091936,0.019112776,0.057670772,0.04977956,0.027128421,0.15279292
Cabo Verde,CPV,0.017523499,0.02413269,0.025390366,0.029163183,0.034854757,0.038062075,0.041187888,0.048866662,0.081073931,0.117738783,0.165842296,0.175044344,0.18469392,0.195961882,0.205097841,0.217332699,0.25613298,0.285817469,0.286807171
Cambodia,KHM,0.000452141,0.000986633,0.001819838,0.001952471,0.002176072,0.002209102,0.003001639,0.003089608,0.003671505,0.004901464,0.008211395,0.017549238,0.028347841,0.045728179,0.075504642,0.047214394,0.1785309,0.176677004,0.212186289
Cameroon,CMR,0.002424232,0.014665566,0.014781635,0.016035037,0.018318693,0.020562333,0.023833606,0.02867108,0.035135982,0.039814101,0.043736582,0.051352014,0.065838029,0.076222305,0.126278077,0.142119524,0.149953465,0.156828498,0.156604028
Canada,CAN,0.493269231,0.593271798,0.512199055,0.50905504,0.516069105,0.534798378,0.527383384,0.526932807,0.567814913,0.611623828,0.582487219,0.595832315,0.59655911,0.581451864,0.568822607,0.601163457,0.570104515,0.577341657,0.585466354
Central African Republic,CAF,0.000513406,0.131065961,0.131264632,0.131363835,0.131783854,0.131993694,0.132190465,0.13252638,0.177203316,0.209710424,0.226872731,0.011941756,0.030179263,0.02011406,0.042592718,0.071724984,0.118163016,0.25375349,0.250254882
Chad,TCD,0.000343337,0.00035886,0.00104948,0.00192632,0.002151151,0.002294584,0.003245703,0.004675632,0.006538462,0.008064516,0.009101617,0.010019016,0.010913649,0.012947089,0.014771801,0.017820774,0.025447879,0.032499991,0.032613208
Chile,CHL,0.159615385,0.21326664,0.203709164,0.217245983,0.231993474,0.243216551,0.256751226,0.26217151,0.269591612,0.286042236,0.300950628,0.328867545,0.339815637,0.35869937,0.369825577,0.45406161,0.485227061,0.465135679,0.465297953
China,CHN,0.017076089,0.269086862,0.277507215,0.285751099,0.291973952,0.29744883,0.307246589,0.336764815,0.402931312,0.469197376,0.490740192,0.521429664,0.538368655,0.510944197,0.490248854,0.542668595,0.492700415,0.528172058,0.529667933
Colombia,COL,0.021226279,0.047544876,0.054316206,0.069683074,0.079595528,0.088506576,0.110944542,0.145555489,0.178774189,0.216150286,0.247886665,0.262192641,0.313908472,0.335839845,0.335131399,0.377476232,0.371740704,0.385969059,0.38119638
Comoros,COM,0.00261289,0.01221666,0.012261695,0.013856159,0.016666305,0.020249441,0.021044318,0.022552098,0.028007595,0.032242235,0.041812561,0.046501571,0.049865458,0.050774828,0.053184275,0.067850635,0.043720856,0.268784786,0.043944637
"Congo, Dem. Rep.",COD,5.67511E-05,8.96545E-05,0.000586392,0.000811371,0.001169438,0.001368033,0.001653746,0.002041943,0.002417582,0.003010753,0.003854802,0.0063278,0.008730717,0.011393438,0.015281174,0.019348266,0.031606133,0.043099525,0.043249666
"Congo, Rep.",COG,0.000253411,0.004875194,0.005617188,0.007389951,0.011045577,0.013033907,0.015840016,0.019853604,0.029643392,0.03128305,0.034430706,0.038770701,0.041670597,0.043217044,0.045526488,0.04903351,0.050298231,0.061447859,0.061318238
Costa Rica,CRI,0.055771664,0.449376635,0.500418984,0.496978572,0.498619195,0.501532261,0.514900979,0.531426073,0.552811602,0.619379451,0.579007024,0.636300948,0.657721014,0.61461168,0.572742722,0.464326046,0.470714337,0.510872766,0.522828519
Cote d'Ivoire,CIV,0.002225593,0.118951965,0.119006858,0.120422789,0.120922067,0.12183282,0.124378233,0.125793961,0.162941346,0.137080707,0.055673019,0.195023905,0.119021516,0.094098098,0.201163541,0.221268993,0.245145405,0.27867777,0.290623523
Croatia,HRV,0.063893101,0.168688195,0.190621423,0.215204259,0.26261619,0.268846613,0.290541909,0.307084414,0.33346639,0.383775342,0.400320658,0.396068289,0.444583231,0.455167709,0.436737212,0.457050638,0.477869231,0.408571298,0.450558107
Cuba,CUB,0.005203678,0.00843556,0.023828267,0.031520742,0.050113153,0.055965875,0.062337176,0.064514349,0.071098901,0.077043011,0.085126887,0.084461842,0.110175887,0.144644877,0.148075511,0.189944488,0.218743221,0.285742022,0.286737433
Cyprus,CYP,0.146686484,0.404752973,0.436700074,0.438691245,0.459364509,0.446294637,0.457876654,0.482731418,0.536184464,0.58729392,0.648621187,0.617283004,0.486639513,0.452377237,0.474138518,0.488919838,0.484819258,0.520488674,0.586119884
Czech Republic,CZE,0.094043537,0.240282182,0.276686511,0.331739091,0.337047127,0.328161674,0.393195974,0.412049929,0.495581597,0.517601711,0.539128897,0.567658065,0.573529603,0.534171628,0.522367638,0.552809282,0.513927285,0.542366276,0.565456967
Denmark,DNK,0.376657989,0.486637039,0.557060194,0.609655385,0.633389226,0.626548618,0.635055508,0.620291862,0.627476776,0.652709839,0.622867018,0.633721484,0.643012036,0.627437997,0.619278205,0.65238782,0.615900102,0.600817037,0.601935053
Djibouti,DJI,0.001870197,0.008650023,0.009043649,0.009730599,0.01062302,0.01144675,0.013060634,0.014906622,0.020270667,0.030653865,0.043697953,0.046668822,0.052579183,0.057272108,0.062277088,0.06947719,0.073684942,0.286147351,0.286997993
Dominican Republic,DOM,0.035622042,0.122271831,0.130789851,0.135167775,0.140507564,0.153662606,0.170590512,0.185128585,0.149861469,0.173654416,0.190558138,0.225377063,0.252968124,0.276308397,0.288238412,0.316169622,0.360036597,0.409068726,0.445540462
Ecuador,ECU,0.014059505,0.057155471,0.063218798,0.06311623,0.065106807,0.070742372,0.0765116,0.095895279,0.151067133,0.17448163,0.237092227,0.20117631,0.209665964,0.250155001,0.27689789,0.320916135,0.340778357,0.353258088,0.330521497
"Egypt, Arab Rep.",EGY,0.00616601,0.014081174,0.02471599,0.031810561,0.078572328,0.080802774,0.083831235,0.095992695,0.108863395,0.11562509,0.124743065,0.145378508,0.143561964,0.156893438,0.18302317,0.200051873,0.213649673,0.229448441,0.242524332
El Salvador,SLV,0.011321128,0.063746746,0.064035074,0.067062877,0.071100591,0.076165927,0.082750821,0.085747643,0.111268421,0.128654859,0.155215963,0.169271999,0.167645361,0.168715925,0.173019437,0.183423401,0.187023099,0.216779951,0.219837696
Equatorial Guinea,GNQ,0.001272641,0.001291097,0.002029815,0.003130408,0.005029981,0.006607987,0.007145535,0.008593394,0.01,0.011451613,0.032123354,0.060641415,0.07246238,0.084932903,0.096067645,0.108553971,0.12103011,0.1312,0.131657048
Eritrea,ERI,0.001314538,0.001232932,0.001435099,0.001585712,0.00178957,0.00193584,0.002085902,0.002262693,0.002582418,0.002903226,0.003265874,0.003691217,0.004157581,0.004660952,0.005042787,0.005517989,0.005991035,0.006544535,0.006567333
Estonia,EST,0.274778402,0.343325075,0.35940281,0.369568882,0.414098454,0.450177481,0.451781392,0.462303537,0.48990849,0.491022853,0.546425181,0.635464334,0.618507396,0.592338014,0.622536581,0.661505133,0.60556375,0.5865371,0.586108858
Eswatini,SWZ,0.00890569,0.012516796,0.0139819,0.01716082,0.021747937,0.023751277,0.023153121,0.025131305,0.040933762,0.050751667,0.061315046,0.096402481,0.108680972,0.128760397,0.134002749,0.132756297,0.146893226,0.237429336,0.243351113
Ethiopia,ETH,0.000146767,0.043219052,0.043386268,0.043565067,0.043854543,0.044191133,0.044663681,0.044970663,0.058977758,0.056449042,0.051741446,0.029184764,0.047594054,0.050543702,0.119134336,0.134389571,0.126267353,0.523194947,0.516894682
Fiji,FJI,0.014392834,0.039756456,0.064122758,0.065687443,0.06942352,0.073825117,0.078866506,0.085383554,0.104652213,0.138597072,0.141435579,0.188498429,0.197274158,0.201679263,0.208302626,0.232533333,0.254330774,0.277844733,0.274099868
Finland,FIN,0.358158286,0.516327381,0.57409403,0.595852513,0.611024592,0.607612707,0.624544945,0.62537247,0.664150382,0.621145114,0.591126767,0.584207164,0.575663203,0.552744553,0.524728635,0.536205862,0.52017173,0.516798594,0.51905467
France,FRA,0.137576192,0.373004584,0.358056415,0.384677701,0.400674742,0.413712772,0.429147784,0.532068561,0.594551915,0.624296072,0.667751737,0.675560941,0.700421115,0.660721834,0.6555499,0.664260544,0.609435079,0.619324458,0.623720933
Gabon,GAB,0.01169366,0.010528283,0.012256889,0.015994627,0.01775581,0.028122211,0.0306625,0.031826736,0.041208791,0.051075269,0.0696006,0.094916998,0.124727419,0.158151453,0.193924253,0.233118821,0.244565685,0.31,0.311079917
"Gambia, The",GMB,0.008863413,0.03756153,0.038472626,0.041772535,0.046834165,0.048951189,0.056375424,0.061361985,0.073496257,0.082603471,0.094191211,0.111521843,0.066549093,0.135959779,0.079258354,0.084534149,0.103331434,0.099850365,0.10078665
Georgia,GEO,0.004661022,0.034143525,0.036425438,0.041779435,0.049553436,0.061330246,0.068435728,0.071975823,0.089737122,0.148370403,0.166300236,0.181999974,0.217715208,0.246246464,0.25815143,0.301426638,0.330990002,0.325393463,0.341973977
Germany,DEU,0.290541794,0.374898,0.436143741,0.463804973,0.513427873,0.522510093,0.53070849,0.542415323,0.572121324,0.590539473,0.60148015,0.600848278,0.607144101,0.586671546,0.582397141,0.614491795,0.562029685,0.553742253,0.579352983
Ghana,GHA,0.00147707,0.01537965,0.019064079,0.02099208,0.02404952,0.02434121,0.029028661,0.035064327,0.041648376,0.050434156,0.064655846,0.065245398,0.135344716,0.121944858,0.164532735,0.157686842,0.193219579,0.231927799,0.26326155
Greece,GRC,0.087873436,0.159169315,0.166446706,0.180787778,0.201406609,0.21167046,0.253886895,0.271752671,0.314047638,0.347304102,0.347679652,0.389114084,0.390003937,0.382627579,0.416503872,0.460912915,0.451529452,0.452398226,0.470832321
Guatemala,GTM,0.006849355,0.043829308,0.051683797,0.057606203,0.060646555,0.063008227,0.066558399,0.070536582,0.086682374,0.097275964,0.116725701,0.116922235,0.135466117,0.146603754,0.163862204,0.19821739,0.218278381,0.369379249,0.369827882
Guinea,GIN,0.000917547,0.012443924,0.013613092,0.013784557,0.014105161,0.014188906,0.014633514,0.015377278,0.019629205,0.022032118,0.02370149,0.032677148,0.039901751,0.04494645,0.07474367,0.050787712,0.056917174,0.097973104,0.098163825
Guinea-Bissau,GNB,0.00221253,0.002340384,0.006464821,0.008144079,0.010776864,0.010927387,0.011491435,0.012176061,0.012938949,0.012383229,0.013117036,0.014089901,0.015039999,0.01605439,0.016911165,0.018028039,0.019144,0.019652546,0.019721007
Guyana,GUY,0.063572034,0.106010374,0.086917116,0.083445738,0.083314083,0.081005044,0.079364996,0.078989733,0.101051989,0.128900258,0.16188789,0.160603579,0.159771661,0.163109747,0.164796295,0.174787201,0.182939692,0.187383222,0.187865424
Haiti,HTI,0.002223757,0.002662753,0.005646063,0.009907135,0.032192525,0.036644837,0.037962242,0.039735099,0.041758242,0.043548387,0.044812078,0.047458499,0.050930363,0.054895657,0.05806846,0.062106415,0.062258752,0.061630518,0.162933762
Honduras,HND,0.011575538,0.022894301,0.028251735,0.040704382,0.045214452,0.049193733,0.055407962,0.06371379,0.070533359,0.075406108,0.084531474,0.101941627,0.12302292,0.11548045,0.118585404,0.15030892,0.170976073,0.184494804,0.184646578
Hungary,HUN,0.06730458,0.327421423,0.319263402,0.343998882,0.379252651,0.43788261,0.476792749,0.508067203,0.571721285,0.595643898,0.595432417,0.622139899,0.585641529,0.544025243,0.523693413,0.532789987,0.533301894,0.527551563,0.520282643
Iceland,ISL,0.427601287,0.885882776,1,1,0.999940398,1,1,1,0.887823687,0.809780499,0.702113101,0.720537841,0.658899328,0.63639217,0.642001185,0.689710922,0.671637445,0.710468618,0.688832958
India,IND,0.005072427,0.066765945,0.071327179,0.071751022,0.073386693,0.075333121,0.077279984,0.083407669,0.105158624,0.121996201,0.113452479,0.134439255,0.142056759,0.1535116,0.182394434,0.161814775,0.168063703,0.23334668,0.246552523
Indonesia,IDN,0.008899653,0.085132321,0.082848603,0.083717324,0.084860088,0.090063192,0.095977995,0.101294984,0.134800724,0.14356245,0.173400054,0.175840949,0.185355763,0.160092032,0.163951686,0.195433352,0.18779641,0.229625498,0.265824264
"Iran, Islamic Rep.",IRN,0.008982596,0.03509939,0.052739093,0.065202985,0.068145704,0.070055635,0.072436991,0.075766604,0.096981145,0.110233975,0.124073845,0.147167862,0.149537393,0.168983262,0.213583109,0.244813269,0.281057232,0.33135517,0.362205895
Iraq,IRQ,0,0.00078125,0.003159757,0.003608371,0.005364167,0.005172414,0.005319765,0.00513245,0.005494505,0.005698925,0.013384731,0.026365833,0.036898528,0.047645287,0.067288101,0.295315682,0.108051692,0.246799994,0.376306357
