Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,1.44673E-06,-6.95339E-07,3.03301E-06,1.03328E-05,5.95287E-06,8.48262E-06,1.58107E-05,1.54916E-05,1.17691E-05,3.10006E-05,3.14464E-05,4.51478E-05,3.74414E-05,2.97839E-05,3.78408E-05,2.41912E-05,9.11167E-05,9.51169E-05,0.000104071
Albania,ALB,3.15338E-05,0.00022968,0.000430542,0.000670642,2.31351E-05,0.000556128,3.33587E-05,4.94918E-05,6.17083E-05,0.000476519,0.000165125,0.000181196,0.000191181,0.000190256,0.000211685,0.000212893,0.000218185,0.000165601,0.000174133
Algeria,DZA,0.000892987,0.000927041,0.001260798,0.001475263,0.001756549,0.00185153,0.002434963,0.002743048,0.00221374,0.002671564,0.00341519,0.003710879,0.004343137,0.004753302,0.004829399,0.005449955,0.005640438,0.005995786,0.005394553
Angola,AGO,6.64717E-06,1.49781E-05,1.96784E-05,6.61389E-06,1.08702E-05,9.63974E-06,1.41376E-05,1.02991E-05,9.67511E-06,1.53251E-05,1.52411E-05,1.93906E-05,2.36913E-05,2.51746E-05,3.64442E-05,3.51101E-05,4.3586E-05,5.66852E-05,2.68371E-05
Argentina,ARG,0.01851067,0.016352969,0.01491738,0.013662853,0.012875249,0.012929675,0.01360834,0.013545691,0.013878774,0.013864343,0.01351325,0.013571727,0.013223344,0.013167779,0.013478875,0.012844045,0.01234041,0.011705305,0.011011667
Armenia,ARM,0.00065567,0.00061466,0.000639134,0.000594595,0.000482619,0.000643868,0.000590667,0.000604357,0.000646435,0.000651275,0.000715528,0.000781842,0.000705568,0.000675474,0.000665782,0.000646951,0.000630212,0.000561864,0.000513087
Australia,AUS,0.077712767,0.074553212,0.073037329,0.071377196,0.070743993,0.071612901,0.0738385,0.076069191,0.07547969,0.074001541,0.075674781,0.07714915,0.077210876,0.083159898,0.081808258,0.084005639,0.082656596,0.078012048,0.073026589
Austria,AUT,0.012709555,0.013168752,0.013572071,0.013700269,0.013337928,0.01344221,0.013911173,0.014753401,0.015211399,0.015868536,0.015901793,0.015441278,0.01557476,0.015417431,0.015494839,0.015777106,0.01521221,0.014170971,0.012199535
Azerbaijan,AZE,0.000248771,0.000407352,0.000551544,0.000613384,0.000686337,0.000648846,0.000553172,0.000751073,0.000780705,0.001022354,0.000959061,0.000878743,0.000858343,0.000600543,0.00050641,0.000571108,0.000720223,0.000834624,0.000759641
"Bahamas, The",BHS,-2.32647E-06,6.15974E-06,2.45363E-06,3.22893E-06,2.10948E-06,6.16836E-06,5.99269E-06,1.15494E-05,3.58341E-06,1.03796E-05,8.53881E-06,1.11233E-05,8.40259E-05,8.58283E-05,0.000112258,7.02067E-05,4.07404E-05,5.87511E-05,1.70408E-05
